날짜,조사기관,이재명,김문수,이준석,응답률
2025-05-27,(주)여론조사꽃,48.8,37.7,10.7,11.6
2025-05-27,KSOI,49.3,36.6,9.4,7.3
2025-05-27,한국리서치,43.6,42.7,8.8,5.2
2025-05-27,리얼미터,49.2,36.8,10.3,10.1
2025-05-27,한국갤럽조사연구소,46.0,37.0,11.0,19.9
2025-05-26,한국갤럽조사연구소,49.0,36.0,9.0,19.3
2025-05-26,미디어리서치,47.3,41.1,8.0,6.2
2025-05-26,코리아정보리서치 ,49.1,39.6,7.7,7.0
2025-05-26,입소스주식회사,48.0,34.0,10.0,18.1
2025-05-26,리서치민,46.9,41.8,7.9,7.3
2025-05-24,코리아정보리서치,46.9,40.7,7.9,5.5
2025-05-24,KOPRA,46.0,40.0,11.0,10.8
2025-05-24,(주)여론조사꽃,48.9,30.8,9.6,18.9
2025-05-24,리서치앤리서치,45.9,34.4,11.3,10.8
2025-05-24,넥스트리서치,44.9,35.9,9.6,16.8
2025-05-23,한길리서치,46.0,41.3,7.8,5.4
2025-05-23,리얼미터,46.6,37.6,10.4,8.3
2025-05-23,코리아정보리서치,47.3,39.3,8.0,5.4
2025-05-23,한국갤럽조사연구소,45.0,36.0,10.0,17.8
2025-05-23,여론조사공정,45.5,41.1,9.2,5.0
2025-05-20,한국리서치,49.0,34.0,8.0,19.5
2025-05-20,여론조사공정,45.2,40.9,9.9,5.3
2025-05-20,코리아리서치인터내셔널,46.0,32.0,10.0,26.7
2025-05-20,원지코리아컨설팅,49.2,39.8,7.7,5.3
2025-05-20,미디어리서치,49.9,36.6,8.7,7.0
2025-05-19,리서치앤리서치,45.6,34.4,9.0,16.0
2025-05-19,에이스리서치,50.6,39.3,6.3,2.8
2025-05-19,미디어로컬,46.0,41.6,8.5,5.5
2025-05-19,조원씨앤아이,47.9,38.5,7.7,4.9
2025-05-19,미디어토마토,51.9,37.6,7.2,5.9
2025-05-18,한길리서치,48.9,39.1,6.9,4.2
2025-05-18,마크로밀엠브레인,50.0,36.0,6.0,22.3
2025-05-18,넥스트리서치,47.7,33.3,6.8,16.7
2025-05-18,조원씨앤아이,47.9,38.5,7.7,4.9
2025-05-18,KSOI,49.2,36.4,9.4,6.5
2025-05-26,여론조사공정,43.6,42.7,8.8,5.2
2025-05-26,에이스리서치,48.9,39.6,9.9,8.5
2025-05-26,(주)여론조사꽃,50.3,32.7,9.4,21.9
2025-05-27,KOPRA,46.0,41.0,9.0,8.6
2025-05-27,한길리서치,45.8,40.7,8.6,10.8
2025-05-26,메타보이스,47.1,39.1,9.8,5.7
2025-05-26,코리아리서치센터,43.0,36.0,11.0,23.9
2025-05-26,리서치뷰,46.8,40.5,9.8,6.0
2025-05-27,조원씨앤아이,50.0,37.3,9.4,7.8
2025-05-27,메타보이스전화,48.0,35.0,12.0,14.2
2025-05-26,미디어토마토,48.6,38.5,10.1,6.3
2025-05-25,미디어리서치 ,47.3,41.1,8.0,6.2
2025-05-26,코리아정보리서치,49.1,39.6,7.7,7.0
2025-05-24,리서치민,48.4,39.6,8.4,6.1
2025-05-24,여론조사공정,47.2,40.8,9.0,6.0
2025-05-24,조원씨앤아이,47.2,39.0,10.6,5.0
2025-05-24,에이스리서치,46.5,40.4,10.3,9.0
2025-05-24,KSOI,47.3,39.6,9.6,7.0
2025-05-21,(주)여론조사꽃,49.6,30.6,9.2,18.5
2025-05-20,한국갤럽조사연구소,45.0,36.0,10.0,17.8
2025-05-21,리얼미터,48.1,38.6,9.4,9.5
2025-05-21,한국갤럽조사연구소,46.0,34.0,11.0,15.8
2025-05-20,코리아정보리서치,48.3,37.6,8.9,4.4
2025-05-17,(주)여론조사꽃,52.3,35.1,9.0,9.8
2025-05-20,(주)여론조사꽃,51.5,29.9,9.0,20.0
2025-05-20,KOPRA,46.0,41.0,10.0,7.7
2025-05-19,리서치뷰,47.3,39.4,9.1,5.1
2025-05-19,리서치민,49.2,38.6,7.6,5.6
2025-05-19,KSOI,49.2,36.4,9.4,6.5
